id,name,role,existing_archetype,epithet,note_reason
nana,Nana Ortiz,protag,Synth-pop songwriter,The Midnight Chorus,Specific metaphor for the existing archetype and personal conflict; no hidden-affinity label disclosed.
emi,Emi Kowalska,protag,Village witch learning to say no,The Kindly Refusal,Specific metaphor for the existing archetype and personal conflict; no hidden-affinity label disclosed.
hana,Hana Al-Salim,protag,Gardener in a divine court,Roots Above Crowns,Specific metaphor for the existing archetype and personal conflict; no hidden-affinity label disclosed.
mira,Mira Solano,protag,Singer carrying a colony's memory,The Colony's Voice,Specific metaphor for the existing archetype and personal conflict; no hidden-affinity label disclosed.
shiori,Shiori Abe,protag,Keeper of a fading forest rite,The Last Green Rite,Specific metaphor for the existing archetype and personal conflict; no hidden-affinity label disclosed.
kaede,Kaede Lund,protag,Poet returning to a fishing village,The Returning Verse,Specific metaphor for the existing archetype and personal conflict; no hidden-affinity label disclosed.
n_aoi,Aoi Narang,protag,Summoned heiress rebuilding consent,The Chosen Yes,Specific metaphor for the existing archetype and personal conflict; no hidden-affinity label disclosed.
n_reiwa,Reiwa Bell,protag,Nightclub singer with a contested past,The Unclaimed Song,Specific metaphor for the existing archetype and personal conflict; no hidden-affinity label disclosed.
ash,Ash Rowan,protag,Scout choosing between two homes,Two Horizons Calling,Specific metaphor for the existing archetype and personal conflict; no hidden-affinity label disclosed.
s_ren,Ren Kobayashi,secondary,Dependable reserve player,The Ready Number,Specific metaphor for the existing archetype and personal conflict; no hidden-affinity label disclosed.
s_okada,Masaru Okada,secondary,Retired dojo instructor,The Patient Fist,Specific metaphor for the existing archetype and personal conflict; no hidden-affinity label disclosed.
s_ichiro,Ichiro Santos,secondary,Delinquent who fixes things,The Mending Rebel,Specific metaphor for the existing archetype and personal conflict; no hidden-affinity label disclosed.
s_takeshi,Takeshi Tan,secondary,Demanding logistics coach,The Supply-Line Spine,Specific metaphor for the existing archetype and personal conflict; no hidden-affinity label disclosed.
s_daiki,Daiki Lim,secondary,Night-shift simulation expert,The Midnight Model,Specific metaphor for the existing archetype and personal conflict; no hidden-affinity label disclosed.
s_gen,Gen Zhao,secondary,Apparently idle strategist,The Idle Checkmate,Specific metaphor for the existing archetype and personal conflict; no hidden-affinity label disclosed.
s_ken,Ken Mori,secondary,Rescue exosuit operator,The Helping Frame,Specific metaphor for the existing archetype and personal conflict; no hidden-affinity label disclosed.
s_riku,Riku Haddad,secondary,Rival who becomes a sparring partner,The Worthy Foil,Specific metaphor for the existing archetype and personal conflict; no hidden-affinity label disclosed.
s_tora,Tora,secondary,Caravan protector,The Caravan Wall,Specific metaphor for the existing archetype and personal conflict; no hidden-affinity label disclosed.
s_eiji,Eiji Nakamura,secondary,Protective older brother learning trust,The Open Hand,Specific metaphor for the existing archetype and personal conflict; no hidden-affinity label disclosed.
s_boone,Boone Walker,secondary,Workshop mentor,The Hearthside Forge,Specific metaphor for the existing archetype and personal conflict; no hidden-affinity label disclosed.
tsubasa,Tsubasa Vega,secondary,Impulsive flight engineer,The Reckless Lift,Specific metaphor for the existing archetype and personal conflict; no hidden-affinity label disclosed.
s_kiki,Kiki Mensah,secondary,Accidental stunt comic,The Lucky Landing,Specific metaphor for the existing archetype and personal conflict; no hidden-affinity label disclosed.
s_akane,Akane Sato,secondary,Senior dance captain,The Measured Beat,Specific metaphor for the existing archetype and personal conflict; no hidden-affinity label disclosed.
s_chiaki,Chiaki Moon,secondary,Transfer student investigating rumours,The Rumour's End,Specific metaphor for the existing archetype and personal conflict; no hidden-affinity label disclosed.
s_momoko,Momoko Takeda,secondary,Volunteer event manager,The Unseen Organiser,Specific metaphor for the existing archetype and personal conflict; no hidden-affinity label disclosed.
s_yuna,Yuna Bautista,secondary,Cheer captain organising a comeback,The Rallying Ribbon,Specific metaphor for the existing archetype and personal conflict; no hidden-affinity label disclosed.
s_kanna,Kanna Sethi,secondary,Bodyguard who studies escape routes,The Second Exit,Specific metaphor for the existing archetype and personal conflict; no hidden-affinity label disclosed.
s_maki,Maki Sorensen,secondary,Offshore rescue ace,The Stormward Rope,Specific metaphor for the existing archetype and personal conflict; no hidden-affinity label disclosed.
s_bolt,Bola 'Bolt' Adeyemi,secondary,Last-lap rival,The Final Surge,Specific metaphor for the existing archetype and personal conflict; no hidden-affinity label disclosed.
s_ironmaid,Vera 'Valkyrie' Nygaard,secondary,Wing-suit sergeant,The Falling Standard,Specific metaphor for the existing archetype and personal conflict; no hidden-affinity label disclosed.
s_amber,Amber Qadir,secondary,Traveller with unreliable directions,The Crooked Compass,Specific metaphor for the existing archetype and personal conflict; no hidden-affinity label disclosed.
s_peko,Peko Yoshida,secondary,Festival organiser with impossible optimism,The Unfailing Festival,Specific metaphor for the existing archetype and personal conflict; no hidden-affinity label disclosed.
s_amina,Amina El-Khatib,secondary,Expedition archivist,Keeper of Tracks,Specific metaphor for the existing archetype and personal conflict; no hidden-affinity label disclosed.
s_lulu,Lucien 'Lulu' Duval,secondary,Superfan becoming a wardrobe assistant,The Backstage Heart,Specific metaphor for the existing archetype and personal conflict; no hidden-affinity label disclosed.
s_shin,Pip,secondary,Visitor learning human subtext,Between the Lines,Specific metaphor for the existing archetype and personal conflict; no hidden-affinity label disclosed.
s_sosuke,Sosuke-9,secondary,Butler negotiating autonomy,The Self-Owned Name,Specific metaphor for the existing archetype and personal conflict; no hidden-affinity label disclosed.
s_alfred,Alfred Bellamy,secondary,Household steward with boundaries,The Kindly Boundary,Specific metaphor for the existing archetype and personal conflict; no hidden-affinity label disclosed.
s_tobi,Tobi Akinwale,secondary,Rookie reporter earning trust,The Earned Byline,Specific metaphor for the existing archetype and personal conflict; no hidden-affinity label disclosed.
taro,Taro Fujita,secondary,Guild cook and patient confidant,The Listening Hearth,Specific metaphor for the existing archetype and personal conflict; no hidden-affinity label disclosed.
s_soleil,Soleil Armand,secondary,Knight adjusting to ordinary friendship,The Unarmoured Friend,Specific metaphor for the existing archetype and personal conflict; no hidden-affinity label disclosed.
s_ice,Isaak 'Ice' Novak,secondary,Goth singer hiding a generous streak,The Midnight Kindness,Specific metaphor for the existing archetype and personal conflict; no hidden-affinity label disclosed.
s_ryo,Ryo Flores,secondary,Busker attached to a departing crew,Song Before Departure,Specific metaphor for the existing archetype and personal conflict; no hidden-affinity label disclosed.
s_kazuki,Kazuki Tran,secondary,Drama-club star afraid of being ordinary,Beyond the Applause,Specific metaphor for the existing archetype and personal conflict; no hidden-affinity label disclosed.
s_pranav,Pranav Rao,secondary,Museum conservator and home cook,The Restored Fragment,Specific metaphor for the existing archetype and personal conflict; no hidden-affinity label disclosed.
fumi,Fumi Arai,secondary,Quiet storyboard artist,The Quiet Frame,Specific metaphor for the existing archetype and personal conflict; no hidden-affinity label disclosed.
s_mika,Mika Okoye,secondary,Blunt best friend learning tact,The Honest Edge,Specific metaphor for the existing archetype and personal conflict; no hidden-affinity label disclosed.
s_anna,Anna Petrov,secondary,Archivist of contradictory legends,Keeper of Contradictions,Specific metaphor for the existing archetype and personal conflict; no hidden-affinity label disclosed.
s_nozomi,Nozomi Hayashi,secondary,Childhood friend pursuing her own future,Her Own Tomorrow,Specific metaphor for the existing archetype and personal conflict; no hidden-affinity label disclosed.
s_sakurako,Sakurako Minami,secondary,Elegant rival turned rehearsal partner,The Shared Rehearsal,Specific metaphor for the existing archetype and personal conflict; no hidden-affinity label disclosed.
s_mimi,Mimi Pham,secondary,Costume designer discovering her voice,The Unmuted Stitch,Specific metaphor for the existing archetype and personal conflict; no hidden-affinity label disclosed.
s_aoi,Aoi Bennett,secondary,Weather presenter on a difficult assignment,The Weather Witness,Specific metaphor for the existing archetype and personal conflict; no hidden-affinity label disclosed.
s_megu,Megumi Mori,secondary,Class representative under pressure,The Steady Vote,Specific metaphor for the existing archetype and personal conflict; no hidden-affinity label disclosed.
s_hina,Hina Ali,secondary,Timid artist travelling with a troupe,The Travelling Sketch,Specific metaphor for the existing archetype and personal conflict; no hidden-affinity label disclosed.
s_nanami,Nanami Cho,secondary,Gossip writer questioning her trade,The Questioned Whisper,Specific metaphor for the existing archetype and personal conflict; no hidden-affinity label disclosed.
s_reina,Reina Solberg,secondary,Council clerk caught between clans,The Unsealed Accord,Specific metaphor for the existing archetype and personal conflict; no hidden-affinity label disclosed.
yuzuki,Yuzuki Amari,secondary,Guide for the homesick,The Homeward Lantern,Specific metaphor for the existing archetype and personal conflict; no hidden-affinity label disclosed.
s_linh,Linh Trần,secondary,Ship medic mediating a divided crew,The Healing Passage,Specific metaphor for the existing archetype and personal conflict; no hidden-affinity label disclosed.
p_koro,Koro,pet,Pocket navigation companion,The Pocket Bearing,Specific metaphor for the existing archetype and personal conflict; no hidden-affinity label disclosed.
p_baku,Baku,pet,Guardian of exhausted sleepers,The Dreamward Watch,Specific metaphor for the existing archetype and personal conflict; no hidden-affinity label disclosed.
p_gon,Gon,pet,Excitable expedition follower,The Eager Footprint,Specific metaphor for the existing archetype and personal conflict; no hidden-affinity label disclosed.
p_pochi,Pochi,pet,Helpful workshop puppy,The Helpful Bolt,Specific metaphor for the existing archetype and personal conflict; no hidden-affinity label disclosed.
p_toro,Toro,pet,Kettle-shaped camp nuisance,The Kettle Rascal,Specific metaphor for the existing archetype and personal conflict; no hidden-affinity label disclosed.
p_mugi,Mugi,pet,Persistent foraging cub,The Never-Empty Paw,Specific metaphor for the existing archetype and personal conflict; no hidden-affinity label disclosed.
p_hachi,Hachi,pet,Tiny formation leader,The Tiny Formation,Specific metaphor for the existing archetype and personal conflict; no hidden-affinity label disclosed.
p_kiki2,Kiki Ember,pet,Warm-blooded trail companion,The Warm Trail,Specific metaphor for the existing archetype and personal conflict; no hidden-affinity label disclosed.
p_chacha,Chacha,pet,Mischievous deck lookout,The Deckside Wink,Specific metaphor for the existing archetype and personal conflict; no hidden-affinity label disclosed.
p_drakko,Drakko,pet,Sock-hoarding hatchling,The Missing Sock,Specific metaphor for the existing archetype and personal conflict; no hidden-affinity label disclosed.
p_loader,Loader,pet,Supply-search terrier,The Supply Sniffer,Specific metaphor for the existing archetype and personal conflict; no hidden-affinity label disclosed.
s_haruto,Nyanko,pet,Streetwise harbour guide,The Harbour Whisper,Specific metaphor for the existing archetype and personal conflict; no hidden-affinity label disclosed.
p_umi,Umi,pet,Unhurried recovery companion,The Gentle Pause,Specific metaphor for the existing archetype and personal conflict; no hidden-affinity label disclosed.
p_kuro,Kuro Shade,pet,Elusive signal-follower,The Vanishing Signal,Specific metaphor for the existing archetype and personal conflict; no hidden-affinity label disclosed.
p_ruri,Ruri,pet,Resonant rehearsal companion,The Resonant Feather,Specific metaphor for the existing archetype and personal conflict; no hidden-affinity label disclosed.
p_piko,Piko,pet,Adaptive puzzle helper,The Wobbling Answer,Specific metaphor for the existing archetype and personal conflict; no hidden-affinity label disclosed.
p_fuu,Fuu,pet,Wayfinding companion,The Wandering Breeze,Specific metaphor for the existing archetype and personal conflict; no hidden-affinity label disclosed.
p_kona,Kona,pet,Timid snow-guide cub,The Snowbound Shiver,Specific metaphor for the existing archetype and personal conflict; no hidden-affinity label disclosed.
p_teto,Teto,pet,Patient timing companion,The Patient Beat,Specific metaphor for the existing archetype and personal conflict; no hidden-affinity label disclosed.
p_pomu,Pomu,pet,Overprepared orchard scout,The Prepared Paw,Specific metaphor for the existing archetype and personal conflict; no hidden-affinity label disclosed.
p_cogsworth,Cogsworth,pet,Punctual observation machine,The Minute Keeper,Specific metaphor for the existing archetype and personal conflict; no hidden-affinity label disclosed.
p_nibi,Nibi,pet,Contrary boundary keeper,The Contrary Threshold,Specific metaphor for the existing archetype and personal conflict; no hidden-affinity label disclosed.
p_nitro,Nitro,pet,Tool-stealing pit companion,The Borrowed Spanner,Specific metaphor for the existing archetype and personal conflict; no hidden-affinity label disclosed.
p_silt,Silt,pet,Patient route-finder,The Patient Path,Specific metaphor for the existing archetype and personal conflict; no hidden-affinity label disclosed.
p_mochi,Mochi,pet,Companion who chooses the quietest lap,The Quietest Lap,Specific metaphor for the existing archetype and personal conflict; no hidden-affinity label disclosed.
p_tama,Tama,pet,Homesick sky calf,The Homesick Cloud,Specific metaphor for the existing archetype and personal conflict; no hidden-affinity label disclosed.
p_chibi,Chibi,pet,Solemn social observer,The Solemn Waddle,Specific metaphor for the existing archetype and personal conflict; no hidden-affinity label disclosed.
p_maru,Maru,pet,Wakeful library companion,The Wakeful Page,Specific metaphor for the existing archetype and personal conflict; no hidden-affinity label disclosed.
p_sora,Sora Nimbus,pet,Drifting reassurance companion,The Drifting Comfort,Specific metaphor for the existing archetype and personal conflict; no hidden-affinity label disclosed.
p_nemu,Nemu,pet,Unhurried emotional anchor,The Unhurried Hug,Specific metaphor for the existing archetype and personal conflict; no hidden-affinity label disclosed.
p_mocha,Mocha,pet,Curious café companion,The Curious Saucer,Specific metaphor for the existing archetype and personal conflict; no hidden-affinity label disclosed.
p_goma,Goma,pet,Gentle doorway greeter,The Welcome Wag,Specific metaphor for the existing archetype and personal conflict; no hidden-affinity label disclosed.
p_puri,Puri,pet,Shy heat-sharing hatchling,The Shared Ember,Specific metaphor for the existing archetype and personal conflict; no hidden-affinity label disclosed.
p_ponta,Ponta,pet,Grumbling communal companion,The Grumbling Cuddle,Specific metaphor for the existing archetype and personal conflict; no hidden-affinity label disclosed.
s_koko,Koko,pet,Unreadable household oracle,The Unreadable Purr,Specific metaphor for the existing archetype and personal conflict; no hidden-affinity label disclosed.
p_brine,Brine,pet,Colour-speaking social companion,The Colourful Reply,Specific metaphor for the existing archetype and personal conflict; no hidden-affinity label disclosed.
p_pudding,Pudding,pet,Affectionate wobbling greeter,The Wobbling Welcome,Specific metaphor for the existing archetype and personal conflict; no hidden-affinity label disclosed.
p_peko,Peko Sprig,pet,Tiny companion for a first journey,The First Footstep,Specific metaphor for the existing archetype and personal conflict; no hidden-affinity label disclosed.
p_momo2,Momo Peach,pet,Tender reunion companion,The Reunion Hop,Specific metaphor for the existing archetype and personal conflict; no hidden-affinity label disclosed.
p_nya,Nya,pet,Opinionated apprentice supervisor,The Opinionated Purr,Specific metaphor for the existing archetype and personal conflict; no hidden-affinity label disclosed.
p_rin2,Rin Pearl,pet,Wish-pool companion,The Poolside Wish,Specific metaphor for the existing archetype and personal conflict; no hidden-affinity label disclosed.
p_yuzu,Yuzu,pet,Restless kitchen companion,The Restless Whisker,Specific metaphor for the existing archetype and personal conflict; no hidden-affinity label disclosed.
p_sakumi,Sakumi,pet,Seasonal reunion companion,The Returning Season,Specific metaphor for the existing archetype and personal conflict; no hidden-affinity label disclosed.
p_bloop,Bloop,pet,Responsive light companion,The Answering Glow,Specific metaphor for the existing archetype and personal conflict; no hidden-affinity label disclosed.
p_lumen,Lumen,pet,Shy witness to family promises,Witness to Promises,Specific metaphor for the existing archetype and personal conflict; no hidden-affinity label disclosed.
p_fuwa,Fuwa,pet,Mood-following flock companion,The Following Flock,Specific metaphor for the existing archetype and personal conflict; no hidden-affinity label disclosed.
p_stellar,Stellar,pet,Curious companion of exiles,The Exile's Orbit,Specific metaphor for the existing archetype and personal conflict; no hidden-affinity label disclosed.
s_chika,Chika,pet,Baker's companion learning independence,The Independent Crumb,Specific metaphor for the existing archetype and personal conflict; no hidden-affinity label disclosed.
v_kurogane,Daigo Kurogane,villain,Authoritarian mechanised commander,The Iron Mandate,Specific metaphor for the existing archetype and personal conflict; no hidden-affinity label disclosed.
v_volt,General Mateo Volt,villain,Test-fleet commander,The Fleet's Verdict,Specific metaphor for the existing archetype and personal conflict; no hidden-affinity label disclosed.
v_carnage,Darius 'Carnage' Cole,villain,Reigning tournament champion,The Unyielding Bracket,Specific metaphor for the existing archetype and personal conflict; no hidden-affinity label disclosed.
v_ash,Commander Ash Malik,villain,Hard-line evacuation officer,The Rationed Rescue,Specific metaphor for the existing archetype and personal conflict; no hidden-affinity label disclosed.
v_scuttle,Captain Scuttlebutt,villain,Rumour-trading pirate captain,The Whispering Cutlass,Specific metaphor for the existing archetype and personal conflict; no hidden-affinity label disclosed.
v_gravemark,Jarl Eirik Gravemark,villain,Clan elder defending an unequal peace,The Unequal Peace,Specific metaphor for the existing archetype and personal conflict; no hidden-affinity label disclosed.
v_onikage,Ren Onikage,villain,Dojo heir bound to a harmful oath,The Poisoned Oath,Specific metaphor for the existing archetype and personal conflict; no hidden-affinity label disclosed.
v_baron,Baron Ossian Vale,villain,Collector of heroic titles,The Stolen Laurels,Specific metaphor for the existing archetype and personal conflict; no hidden-affinity label disclosed.
v_magus,Orun Vey,villain,Gatekeeper of a summoned world,The Locked Threshold,Specific metaphor for the existing archetype and personal conflict; no hidden-affinity label disclosed.
v_blackout,Marek 'Blackout' Sanz,villain,Infrastructure monopolist,The City's Toll,Specific metaphor for the existing archetype and personal conflict; no hidden-affinity label disclosed.
sen,Sen Arakawa,villain,Scarred veteran opposing a reckless mission,The Scarred Objection,Specific metaphor for the existing archetype and personal conflict; no hidden-affinity label disclosed.
v_grandfinale,Gabriel 'Grand Finale' Moreau,villain,Theatrical culinary judge,The Final Taste,Specific metaphor for the existing archetype and personal conflict; no hidden-affinity label disclosed.
v_tempest,Tessa Tempest,villain,Champion offshore skipper,The Storm's Claim,Specific metaphor for the existing archetype and personal conflict; no hidden-affinity label disclosed.
v_reaper,Rhea 'Reaper' Quinn,villain,Relentless elimination-round champion,The Last Elimination,Specific metaphor for the existing archetype and personal conflict; no hidden-affinity label disclosed.
v_zero,Zero Venn,villain,Identity broker with no public history,The Borrowed Face,Specific metaphor for the existing archetype and personal conflict; no hidden-affinity label disclosed.
v_glitch,Director Glitch,villain,Overprotective civic administrator,The Protective Cage,Specific metaphor for the existing archetype and personal conflict; no hidden-affinity label disclosed.
v_paradox,Professor Samira Paradox,villain,Prestige-obsessed chronology researcher,The Captured Moment,Specific metaphor for the existing archetype and personal conflict; no hidden-affinity label disclosed.
v_warden,Warden Nandi Dube,villain,Camp leader rationing hope,The Rationed Dawn,Specific metaphor for the existing archetype and personal conflict; no hidden-affinity label disclosed.
v_titanus,Titanus Rex,villain,Territorial nesting creature,The Nesting Colossus,Specific metaphor for the existing archetype and personal conflict; no hidden-affinity label disclosed.
v_bioform,Bioform IX,villain,Manufactured champion seeking authorship,The Manufactured Crown,Specific metaphor for the existing archetype and personal conflict; no hidden-affinity label disclosed.
v_inquisitor,Dr Imani Sefu,villain,Unforgiving examination chair,The Unforgiving Mark,Specific metaphor for the existing archetype and personal conflict; no hidden-affinity label disclosed.
v_collector,Celeste Armand,villain,Museum patron claiming living traditions,The Living Exhibit,Specific metaphor for the existing archetype and personal conflict; no hidden-affinity label disclosed.
v_nightshade,Nadia Nightshade,villain,Botanical expedition rival,The Thorned Claim,Specific metaphor for the existing archetype and personal conflict; no hidden-affinity label disclosed.
v_amethyst,Amethyst Rook,villain,Court regent defending inherited privilege,The Inherited Throne,Specific metaphor for the existing archetype and personal conflict; no hidden-affinity label disclosed.
v_hollow,The Hollow King,villain,Lonely ruler of an empty audience,The Empty Ovation,Specific metaphor for the existing archetype and personal conflict; no hidden-affinity label disclosed.
v_mirage,Dr Farid Mirage,villain,Charismatic memory specialist,The Rewritten Memory,Specific metaphor for the existing archetype and personal conflict; no hidden-affinity label disclosed.
v_puppeteer,Adrian Vale,villain,Manipulative talent manager,The Velvet Strings,Specific metaphor for the existing archetype and personal conflict; no hidden-affinity label disclosed.
v_fang,Count Lucan Varga,villain,Courteous host unable to accept refusal,The Unending Invitation,Specific metaphor for the existing archetype and personal conflict; no hidden-affinity label disclosed.
v_lich,Basil Lich,villain,Washed-up comic guarding his slot,The Last-Laugh Ghost,Specific metaphor for the existing archetype and personal conflict; no hidden-affinity label disclosed.
v_kairos,Leon Kairos,villain,Charming technology sponsor,The Golden Dependency,Specific metaphor for the existing archetype and personal conflict; no hidden-affinity label disclosed.
v_plague,Dr Emil Green,villain,Respected clinic director suppressing failure,The Hidden Failure,Specific metaphor for the existing archetype and personal conflict; no hidden-affinity label disclosed.
v_harlequin,Harlequin Bell,villain,Improv star who always needs the last laugh,The Stolen Punchline,Specific metaphor for the existing archetype and personal conflict; no hidden-affinity label disclosed.
v_overlord,Osric Vale,villain,Summoned administrator claiming the crown,The Appointed Crown,Specific metaphor for the existing archetype and personal conflict; no hidden-affinity label disclosed.
v_falsetto,Seo Min-jae 'Falsetto',villain,Rival centre fearing replacement,The Replaceable Star,Specific metaphor for the existing archetype and personal conflict; no hidden-affinity label disclosed.
v_lovelace,Julian Lovelace,villain,Serial charmer dodging accountability,The Borrowed Heart,Specific metaphor for the existing archetype and personal conflict; no hidden-affinity label disclosed.
v_einar,Einar Dahl,villain,Prestigious restaurateur guarding a family legacy,The Guarded Recipe,Specific metaphor for the existing archetype and personal conflict; no hidden-affinity label disclosed.
v_nocturne,Nora Nocturne,villain,Intimidating gallery director,The Gilded Silence,Specific metaphor for the existing archetype and personal conflict; no hidden-affinity label disclosed.
v_venom,Valerie Venn,villain,Immaculate popular school rival,The Perfect Rival,Specific metaphor for the existing archetype and personal conflict; no hidden-affinity label disclosed.
v_obsidian,Odette Blackwell,villain,Fashion-house director guarding her image,The Immaculate Mask,Specific metaphor for the existing archetype and personal conflict; no hidden-affinity label disclosed.
v_sinister,Sister Celia Senn,villain,Overbearing school administrator,The Locked Corridor,Specific metaphor for the existing archetype and personal conflict; no hidden-affinity label disclosed.
v_hex,Hester Hex,villain,Tutor who rations approval,The Rationed Praise,Specific metaphor for the existing archetype and personal conflict; no hidden-affinity label disclosed.
v_silence,The Silence,villain,Unacknowledged witness,The Unheard Witness,Specific metaphor for the existing archetype and personal conflict; no hidden-affinity label disclosed.
v_frostbite,Freya Frost,villain,Reigning ice-dance champion,The Frozen Ovation,Specific metaphor for the existing archetype and personal conflict; no hidden-affinity label disclosed.
v_dread,Dorothea Reed,villain,Exacting residential manager,The Perfect Address,Specific metaphor for the existing archetype and personal conflict; no hidden-affinity label disclosed.
v_moth,Mother Moth,villain,Comfort that will not let go,The Smothering Comfort,Specific metaphor for the existing archetype and personal conflict; no hidden-affinity label disclosed.
v_hollowchild,The Pale Empress,villain,Sovereign afraid of being irrelevant,The Fading Sovereign,Specific metaphor for the existing archetype and personal conflict; no hidden-affinity label disclosed.
