id,name,cost,q,f,desc,syn,synQ,anti,antiQ,cast,castQ,unlock,franchiseOnly,availability_stage,franchise_relevance
v3_unmaskedhome,Home Without a Mask,22000,4,0.05,A former operative returns to someone who knew only the cover story.,"[""shinobi"", ""romance"", ""slice""]",3,"[""military""]",-2,secondary,2,"{""kind"": ""franchise""}",True,late,Continuity-focused; existing franchise gate
v3_lastretainer,The Last Retainer,23000,4,0.05,An old companion keeps a promise after the clan that demanded it is gone.,"[""samurai"", ""nordic"", ""survival""]",3,"[""comedy""]",-2,secondary,2,"{""kind"": ""franchise""}",True,late,Continuity-focused; existing franchise gate
v3_winterharbour,Winter Harbour,14000,3,0.04,A storm closes the port; a small guide finds the last safe crossing.,"[""nordic"", ""survival"", ""pirate""]",3,"[""magical""]",-2,pet,2,"{""kind"": ""genre"", ""genre"": ""nordic""}",,early,Works as an original; can seed a later continuation
v3_borrowedworld,A Borrowed World,17000,3,0.04,The visitor learns which local custom keeps everyone alive.,"[""isekai"", ""fantasy"", ""mythology""]",3,"[""cyber""]",-2,secondary,2,"{""kind"": ""shows"", ""n"": 2}",,mid,Works as an original; can seed a later continuation
v3_sharedtable,The Shared Table,11000,3,0.04,A meal creates enough trust for a difficult truth.,"[""cooking"", ""slice"", ""romance""]",3,"[""military"", ""horror""]",-2,protag,2,,,early,Works as an original; can seed a later continuation
v3_lastbroadcast,The Last Broadcast,21000,4,0.04,A voice crosses an impossible distance and reaches someone who had stopped listening.,"[""space"", ""idol"", ""supernatural""]",3,"[""martial"", ""samurai""]",-2,protag,2,"{""kind"": ""shows"", ""n"": 3}",,mid,Works as an original; can seed a later continuation
v3_brokenrecord,The Broken Record,18000,3,0.05,A perfect result hides the rule that made honest victory impossible.,"[""sports"", ""mecha"", ""cyber""]",3,"[""mythology"", ""fantasy""]",-2,villain,2,"{""kind"": ""score"", ""n"": 22}",,mid,Works as an original; can seed a later continuation
v3_inheritedmask,The Inherited Mask,18000,4,0.03,A familiar role passes to someone who refuses its old ending.,"[""magical"", ""mythology"", ""supernatural""]",3,"[""nordic""]",-2,secondary,2,"{""kind"": ""shows"", ""n"": 2}",,mid,Works as an original; can seed a later continuation
v3_roomthatwaits,The Room That Waits,15000,4,0.02,The companion refuses to cross a threshold everyone else calls harmless.,"[""horror"", ""mystery""]",3,"[""comedy"", ""idol"", ""pirate""]",-2,pet,2,"{""kind"": ""genre"", ""genre"": ""horror""}",,early,Works as an original; can seed a later continuation
v3_schoolwithoutmaster,A School Without Masters,18000,3,0.05,The students must decide which lessons deserve to survive the teacher.,"[""martial"", ""sports""]",3,"[""space"", ""isekai""]",-2,secondary,2,"{""kind"": ""genre"", ""genre"": ""martial""}",,mid,Works as an original; can seed a later continuation
v3_emptythrone,The Empty Throne,24000,4,0.04,The old ruler is gone; their rival has inherited a problem instead of a prize.,"[""fantasy"", ""isekai"", ""samurai""]",3,"[""cooking"", ""shinobi""]",-2,villain,2,"{""kind"": ""franchise""}",True,late,Continuity-focused; existing franchise gate
v3_falsefestival,The False Festival,17000,3,0.05,A public celebration hides a private operation; the mascot notices the wrong rehearsal.,"[""comedy"", ""idol"", ""shinobi""]",3,"[""survival"", ""supernatural""]",-2,pet,2,"{""kind"": ""shows"", ""n"": 2}",,mid,Works as an original; can seed a later continuation
v3_chartedescape,The Charted Escape,21000,4,0.04,"The map is accurate, but following it would abandon someone.","[""pirate"", ""space"", ""survival""]",3,"[""slice""]",-2,protag,2,"{""kind"": ""shows"", ""n"": 3}",,mid,Works as an original; can seed a later continuation
