"id","title","sourceType","description","genres","tones","audience","animeType","rarity","fanbase","prestige","merchPotential","adaptationDifficulty","rightsBaseValue","royaltyRate","characters","adaptationArcs","specialArcUnlock","posterSlot","posterAsset","posterPalette","specialRules"
"ip_023","Ramen King Zero","webcomic","A street cook battles corporate chefs using recipes inherited from a vanished district.","cooking|martial","comic|competitive","family","shonen","emerging","58","36","74","44","185000","0.13999999999999999","protagonist:Ken Broth|companion:Mia Salt|antagonist:Chef Crown|mascot:Eggy","Night Market|Broth Trials|The Zero Bowl","","23","/auction-ip/poster_023.webp","#40150d|#e87820|#f4d35e","Affordable and merchandise-friendly."
"ip_024","Velocity Bloom","game","A shy track cyclist joins a flamboyant all-girls velodrome team.","sports|slice","uplifting|colourful","teens","shojo","cult","31","43","47","38","80000","0.16","protagonist:Hana Spoke|companion:Luz Bell|antagonist:Rika Vale|mascot:Puff","First Lap|Summer Circuit|Bloom Sprint","","24","/auction-ip/poster_024.webp","#153d55|#ec6b8f|#f3e37c","Cheap cult property with breakout potential."
"ip_025","The Glass Savepoint","manga","A healer learns every JRPG resurrection creates a parallel abandoned party.","fantasy|space","epic|philosophical","adults","shonen","legendary","86","94","63","96","2915000","0.07999999999999999","protagonist:Sera Quen|companion:Bram Axis|antagonist:The Last Save|mascot:Cursor","The First Wipe|Discarded World|Final Save","multiverse","25","/auction-ip/poster_025.webp","#10203b|#7356c8|#e6bf65","Adaptation nightmare; huge prestige upside."
"ip_026","Lumenfall Tactics","light_novel","Young officers command a rebellion where every victory permanently reshapes the map.","fantasy|political","strategic|heroic","teens","shonen","premium","78","82","65","79","1110000","0.09999999999999999","protagonist:Captain Elian|companion:Nara Voss|antagonist:Archduke Sorn|mascot:Mote","Border Keep|Council Coup|Lumenfall","","26","/auction-ip/poster_026.webp","#122538|#8f3e50|#e5cb81","Branching canon requires continuity spend."
"ip_027","Songs of the Salt Crown","jrpg","A tide-mage assembles a broken party to dethrone an immortal sea oracle.","fantasy|fantasy","mythic|romantic","family","shojo","recognised","70","65","79","64","485000","0.12","protagonist:Neris Salt|companion:Odo Finch|antagonist:Oracle Brine|mascot:Kelp","The Drowned Road|Four Harbours|The Salt Crown","underworld_journey","27","/auction-ip/poster_027.webp","#113647|#38a4a1|#e6cb83","International appeal is high."
"ip_028","Clockwork Pilgrims","visual_novel","A mismatched party crosses a mechanical continent before its weekly reset.","fantasy|comedy","adventurous|eccentric","family","shonen","emerging","53","45","82","50","195000","0.13999999999999999","protagonist:Pax Wren|companion:Gilda Cog|antagonist:Abbot Hour|mascot:Tick","Monday Gate|Reset Road|Sunday Engine","","28","/auction-ip/poster_028.webp","#28202f|#b66a3c|#e1c56d","Strong ensemble and mascot sales."
"ip_029","Black Envelope Society","webcomic","Seven scholarship students receive invitations predicting one another's crimes.","mystery|mystery","elite|paranoid","teens","shojo","premium","76","80","38","83","1020000","0.09999999999999999","protagonist:Nell Graves|companion:Ari Wynn|antagonist:The Registrar","First Letter|Masked Trial|Black Commencement","","29","/auction-ip/poster_029.webp","#11131d|#a42135|#e4d8be","High expectations and audience volatility."
"ip_030","The Sixth Witness","game","A courtroom illustrator spots a person erased from every murder scene.","mystery|mystery","procedural|haunting","adults","shojo","recognised","44","86","18","69","385000","0.12","protagonist:Mara Line|companion:Detective Sol|antagonist:The Blank Man","First Sketch|Silent Jury|The Sixth Witness","","30","/auction-ip/poster_030.webp","#171a22|#66768e|#d3b76a","Prestige-heavy, low merchandise ceiling."
"ip_031","Mercy Protocol","manga","A rescue android investigates why survivors keep refusing evacuation.","space|mystery","cold|humane","adults","shonen","recognised","51","79","32","74","405000","0.12","protagonist:MERCY-4|companion:Dr Sen|antagonist:Protocol Prime|mascot:Beacon","Red Zone|The Refusal|Mercy Override","","31","/auction-ip/poster_031.webp","#0c2029|#d55448|#c6e5df","Sound and direction matter more than spectacle."
"ip_032","Paper Kingdom Murders","light_novel","A children's-book editor enters unfinished manuscripts to solve an author's death.","mystery|fantasy","whimsical|macabre","family","shojo","premium","65","74","71","77","1005000","0.09999999999999999","protagonist:Bea Folio|companion:Sir Margin|antagonist:The Red Editor|mascot:Comma","The Missing Page|Ink Labyrinth|Final Draft","","32","/auction-ip/poster_032.webp","#2a1735|#b43a66|#e8d595","Distinct art direction is mandatory."
"ip_033","Apartment 404","jrpg","Four broke flatmates hide the fact their apartment is a portal helpdesk.","comedy|supernatural","chaotic|cosy","teens","shonen","cult","37","32","67","35","85000","0.16","protagonist:Jo Park|companion:Tess Rune|antagonist:Landlord Null|mascot:Key-Key","The Wrong Door|Rent Week|Portal Party","bottle_episode","33","/auction-ip/poster_033.webp","#1c2440|#e36d60|#f1dc8b","Very cheap, strong writing dependency."
"ip_034","Three Lunches a Day","visual_novel","A widowed father secretly reviews school cafeterias with his blunt young daughter.","cooking|slice","gentle|funny","family","shojo","emerging","42","52","61","28","175000","0.13999999999999999","protagonist:Taro Bell|companion:Mina Bell|antagonist:Inspector Roux|mascot:Bento","First Lunch|Sports Day Bento|Last Cafeteria","","34","/auction-ip/poster_034.webp","#315746|#ef9b45|#f5e8c8","Low risk and modest ceiling."
"ip_035","Dungeon Union Local 9","webcomic","Fantasy henchmen organise for safer traps and fairer hero encounters.","comedy|fantasy","satirical|warm","adults","shonen","recognised","57","63","73","47","435000","0.12","protagonist:Grob Nine|companion:Lina Ledger|antagonist:Lord Overtime|mascot:Mimic","First Meeting|Strike Dungeon|New Contract","","35","/auction-ip/poster_035.webp","#242036|#9c6540|#e6d488","Satire can underperform with kids."
"ip_036","My Roommate Is the Ending","game","A novelist's cancelled final boss moves into her tiny apartment.","comedy|romance","meta|romantic","teens","shojo","emerging","48","41","76","42","180000","0.13999999999999999","protagonist:Iri Quill|companion:Doom Rex|antagonist:Editor May|mascot:Blob","Move-In Arc|Deadline Date|The True Ending","","36","/auction-ip/poster_036.webp","#27152f|#dc557c|#f2cf9c","Social campaign affinity is high."
"ip_037","Summer Detour Club","manga","Five graduates take the wrong train and postpone adulthood for one impossible week.","slice|fantasy","nostalgic|sunny","teens","shojo","cult","29","59","40","37","90000","0.16","protagonist:Nao Summer|companion:Kit Vale|antagonist:Inspector Monday|mascot:Ticket","The Wrong Train|Seven Stops|Monday Home","graduation","37","/auction-ip/poster_037.webp","#276578|#e58b4d|#f5e39c","Cheap sleeper with awards potential."
