id,name,archetype,epithet,img,personality,role,type,visibleAff1,visibleAff2,hiddenAff,gender,species,ageBand,culturalBasis
v4_lead_shonen_012,Prae Thamrong,Homeroom Northwind Front-Runner,Homeroom Northwind,cast/v4/v4_lead_shonen_012.webp,Prae remembers the little jobs nobody puts on a schedule; friends also know Prae leaves one light on for anyone coming home late.,protag,shonen,slice,nordic,shinobi,nonbinary,human,17–19,Thai slice of life / nordic character design
v4_lead_shonen_013,Saran Kittisak,Midnight Questroad Pathfinder,Midnight Questroad,cast/v4/v4_lead_shonen_013.webp,"Saran packs for emergencies and forgets ordinary things. In a crisis, Saran treats strange rules as invitations to learn.",protag,shonen,horror,fantasy,comedy,male,human,20–29,Thai horror / fantasy character design
v4_lead_shonen_014,Busisiwe Dlamini,Rosebound Touchline Ace,Rosebound Touchline,cast/v4/v4_lead_shonen_014.webp,"Busisiwe hears what people mean when they cannot quite say it, while outside the big moments Busisiwe keeps one seat empty until everyone arrives.",protag,shonen,romance,sports,military,female,human,17–19,Southern African romance / sports character design
v4_lead_shonen_015,Bao Huynh,Keepsake Red-Thread Runner,Keepsake Red Thread,cast/v4/v4_lead_shonen_015.webp,"Bao makes tea before delivering bad news; when it matters, Bao asks the useful question after everyone else has run out of clever ones.",protag,shonen,romance,mystery,space,male,human,17–19,Vietnamese romance / mystery character design
v4_lead_shonen_016,Marina Moura,Moonletter Moonbow Seeker,Moonletter Moonbow,cast/v4/v4_lead_shonen_016.webp,"Marina protects vulnerable conversations from becoming public theatre. Away from the pressure, Marina always checks whether the quietest person agrees.",protag,shonen,romance,magical,survival,female,human,20–29,Brazilian romance / magical character design
v4_lead_shonen_017,Mikuri Sakurai,Podium Spotlight Trailblazer,Podium Spotlight,cast/v4/v4_lead_shonen_017.webp,"Mikuri keeps one old map even after learning the route; under pressure, Mikuri turns nerves into rhythm once the spotlight lands.",protag,shonen,sports,idol,samurai,female,human,17–19,Japanese sports / idol character design
v4_lead_shonen_018,Lian Mercado,Relay Deep-Sky Front-Runner,Relay Deep Sky,cast/v4/v4_lead_shonen_018.webp,"Lian finds out who keeps moving when nobody is cheering, but Lian also writes down compliments because saying them is harder.",protag,shonen,sports,space,nordic,nonbinary,human,17–19,Filipino sports / space character design
v4_lead_shonen_019,Hemi Kingi,Backstage Frontline Pathfinder,Backstage Frontline,cast/v4/v4_lead_shonen_019.webp,"Hemi always returns to unfinished work before starting something flashy; alongside that, Hemi expects structure to serve the team rather than the reverse.",protag,shonen,idol,military,shinobi,male,human,17–19,Maori/Pasifika idol / military character design
v4_lead_shonen_020,Lina Hamdan,Stage-Light Station Ace,Stage Light Station,cast/v4/v4_lead_shonen_020.webp,Lina knows how to hold attention without demanding it; friends also know Lina keeps one tiny repair kit close at hand.,protag,shonen,idol,space,pirate,female,human,17–19,Arab idol / space character design
v4_lead_shonen_021,Nikau Mikaere,Encore Moonbow Runner,Encore Moonbow,cast/v4/v4_lead_shonen_021.webp,"Nikau remembers who stayed behind to help clean up. In a crisis, Nikau makes room for wonder without becoming careless.",protag,shonen,idol,magical,nordic,male,human,17–19,Maori/Pasifika idol / magical character design
v4_lead_shonen_022,Truc Nguyen,Casefile Wishlight Seeker,Casefile Wishlight,cast/v4/v4_lead_shonen_022.webp,"Truc asks the useful question after everyone else has run out of clever ones, while outside the big moments Truc would rather admit uncertainty than fake confidence.",protag,shonen,mystery,magical,mythology,female,human,20–29,Vietnamese mystery / magical character design
v4_lead_shonen_023,Koharu Okuno,Cipher Last-Light Trailblazer,Cipher Last Light,cast/v4/v4_lead_shonen_023.webp,"Koharu leaves notes instead of dramatic speeches; when it matters, Koharu always saves one reserve for the person who runs out first.",protag,shonen,mystery,survival,samurai,female,human,20–29,Japanese mystery / survival character design
v4_lead_shonen_024,Blair Kerr,Field-Order Stardust Front-Runner,Field Order Stardust,cast/v4/v4_lead_shonen_024.webp,"Blair stays disciplined without becoming rigid. Away from the pressure, Blair keeps one small kindness in reserve.",protag,shonen,military,magical,pirate,nonbinary,human,17–19,Scottish military / magical character design
v4_lead_shonen_025,Ewan Stewart,Command-Post Epic Pathfinder,Command Post Epic,cast/v4/v4_lead_shonen_025.webp,"Ewan keeps a tiny notebook of useful mistakes; under pressure, Ewan respects legends without flattening people into symbols.",protag,shonen,military,mythology,nordic,male,human,20–29,Scottish military / mythology character design
v4_lead_shonen_026,Roxana Rahimi,Moon-Echo Keel Ace,Moon Echo Keel,cast/v4/v4_lead_shonen_026.webp,"Roxana accepts the uncanny without losing interest in the person inside it, but Roxana also always notices who has gone quiet.",protag,shonen,supernatural,pirate,shinobi,female,human,20–29,Persian supernatural / pirate character design
v4_lead_shonen_027,Thabo Mokoena,Otherworld Open-Hand Runner,Otherworld Open Hand,cast/v4/v4_lead_shonen_027.webp,"Thabo saves the best snack for whoever worked latest; alongside that, Thabo values control more than the appearance of strength.",protag,shonen,supernatural,martial,nordic,male,human,17–19,Southern African supernatural / martial arts character design
v4_lead_shonen_028,Marama Tawhiri,Orbital Last-Light Seeker,Orbital Last Light,cast/v4/v4_lead_shonen_028.webp,Marama treats distance as something to cross rather than admire; friends also know Marama writes reminders on the backs of receipts.,protag,shonen,space,survival,mythology,female,human,20–29,Maori/Pasifika space / survival character design
v4_lead_shonen_029,Celeste Lefevre,Emberpack Freewind Trailblazer,Emberpack Freewind,cast/v4/v4_lead_shonen_029.webp,"Celeste takes the long route when someone needs company. In a crisis, Celeste treats a bad map as a starting point rather than a disaster.",protag,shonen,survival,pirate,martial,female,human,20–29,French survival / pirate character design
v4_lead_shonen_030,Blair Boyd,Stance Retainer Front-Runner,Stance Retainer,cast/v4/v4_lead_shonen_030.webp,"Blair treats repetition as the price of making hard things look simple, while outside the big moments Blair keeps one lucky coin and refuses to explain it.",protag,shonen,martial,samurai,shinobi,nonbinary,human,17–19,Scottish martial arts / samurai character design
v4_lead_shonen_031,Leif Nygaard,Moonletter Datastream Pathfinder,Moonletter Datastream,cast/v4/v4_lead_shonen_031.webp,"Leif returns borrowed things cleaner than they arrived; when it matters, Leif treats information as useful only when somebody can act on it.",protag,shonen,romance,cyber,samurai,male,human,20–29,Scandinavian romance / cyber character design
v4_lead_shonen_032,Truc Le,After-Dark Relay Ace,After Dark Relay,cast/v4/v4_lead_shonen_032.webp,"Truc stays steady when a room starts feeling wrong. Away from the pressure, Truc gets quieter as the stakes get higher.",protag,shonen,horror,sports,mystery,female,human,17–19,Vietnamese horror / sports character design
v4_lead_shonen_033,Soren Vale,Neon Chorus Runner,Neon Chorus,cast/v4/v4_lead_shonen_033.webp,"Soren keeps a spare pen for people who never do; under pressure, Soren turns nerves into rhythm once the spotlight lands.",protag,shonen,cyber,idol,comedy,male,human,17–19,mixed diaspora cyber / idol character design
v4_lead_shonen_034,Ira Patel,Fastbreak Stormproof Seeker,Fastbreak Stormproof,cast/v4/v4_lead_shonen_034.webp,"Ira would rather restart honestly than accept a hollow win, but Ira also remembers tiny kindnesses for years.",protag,shonen,sports,survival,cooking,female,human,17–19,Indian sports / survival character design
v4_lead_shonen_035,Ruoxi Chen,Enchanted Pine-Road Trailblazer,Enchanted Pine Road,cast/v4/v4_lead_shonen_035.webp,"Ruoxi carries one completely impractical good-luck charm; alongside that, Ruoxi trusts shared labor more than ceremonial speeches.",protag,shonen,fantasy,nordic,samurai,female,human,20–29,Chinese diaspora fantasy / nordic character design
v4_lead_shonen_036,Andrea Serra,Everyday Field-Order Front-Runner,Everyday Field Order,cast/v4/v4_lead_shonen_036.webp,Andrea remembers the little jobs nobody puts on a schedule; friends also know Andrea leaves one light on for anyone coming home late.,protag,shonen,slice,military,samurai,nonbinary,human,17–19,Mediterranean slice of life / military character design
v4_lead_shojo_001,Ruoxi Tan,Machine-Bay Homeroom Pathfinder,Machine Bay Homeroom,cast/v4/v4_lead_shojo_001.webp,"Ruoxi packs for emergencies and forgets ordinary things. In a crisis, Ruoxi makes space for small comforts when tension rises.",protag,shojo,mecha,slice,horror,female,human,17–19,Chinese diaspora mecha / slice of life character design
v4_lead_shojo_002,Rendra Santoso,Hangar Touchline Ace,Hangar Touchline,cast/v4/v4_lead_shojo_002.webp,"Rendra repairs first and explains later, while outside the big moments Rendra keeps one seat empty until everyone arrives.",protag,shojo,mecha,sports,magical,male,human,17–19,Indonesian mecha / sports character design
v4_lead_shojo_003,Seoyeon Kim,Gearline Stage-Light Runner,Gearline Stage Light,cast/v4/v4_lead_shojo_003.webp,"Seoyeon makes tea before delivering bad news; when it matters, Seoyeon turns nerves into rhythm once the spotlight lands.",protag,shojo,mecha,idol,cooking,female,human,17–19,Korean mecha / idol character design
v4_lead_shojo_004,Asha Tadesse,Servo Comic Seeker,Servo Comic,cast/v4/v4_lead_shojo_004.webp,"Asha trusts machines only after testing them under pressure. Away from the pressure, Asha always checks whether the quietest person agrees.",protag,shojo,mecha,comedy,survival,female,human,20–29,East African mecha / comedy character design
v4_lead_shojo_005,Jalen Francis,Prototype Banner Trailblazer,Prototype Banner,cast/v4/v4_lead_shojo_005.webp,"Jalen keeps one old map even after learning the route; under pressure, Jalen expects structure to serve the team rather than the reverse.",protag,shojo,mecha,military,martial,male,human,20–29,Afro-Caribbean mecha / military character design
v4_lead_shojo_006,Dion Rallis,Second-World After-Dark Front-Runner,Second World After Dark,cast/v4/v4_lead_shojo_006.webp,"Dion looks for the local custom before reaching for assumptions, but Dion also writes down compliments because saying them is harder.",protag,shojo,isekai,horror,military,nonbinary,human,17–19,Greek isekai / horror character design
v4_lead_shojo_007,Morag Munro,Stranger-Road Moonletter Pathfinder,Stranger Road Moonletter,cast/v4/v4_lead_shojo_007.webp,"Morag always returns to unfinished work before starting something flashy; alongside that, Morag protects vulnerable conversations from becoming public theatre.",protag,shojo,isekai,romance,cooking,female,human,20–29,Scottish isekai / romance character design
v4_lead_shojo_008,Tuna Kaya,Portal Sparkle Ace,Portal Sparkle,cast/v4/v4_lead_shojo_008.webp,Tuna asks practical questions when the world stops making sense; friends also know Tuna keeps one tiny repair kit close at hand.,protag,shojo,isekai,magical,shinobi,male,human,20–29,Turkish isekai / magical character design
v4_lead_shojo_009,Althea Pappas,Homeroom Fastbreak Runner,Homeroom Fastbreak,cast/v4/v4_lead_shojo_009.webp,"Althea remembers who stayed behind to help clean up. In a crisis, Althea would rather restart honestly than accept a hollow win.",protag,shojo,slice,sports,fantasy,female,human,17–19,Greek slice of life / sports character design
v4_lead_shojo_010,Kavya Kapoor,Neighborhood Orbital Seeker,Neighborhood Orbital,cast/v4/v4_lead_shojo_010.webp,"Kavya makes space for small comforts when tension rises, while outside the big moments Kavya would rather admit uncertainty than fake confidence.",protag,shojo,slice,space,magical,female,human,17–19,Indian slice of life / space character design
v4_lead_shojo_011,Thanat Chaiya,Grave-Light Glitchline Trailblazer,Grave Light Glitchline,cast/v4/v4_lead_shojo_011.webp,"Thanat leaves notes instead of dramatic speeches; when it matters, Thanat treats information as useful only when somebody can act on it.",protag,shojo,horror,cyber,mystery,male,human,20–29,Thai horror / cyber character design
v4_lead_shojo_012,Kae Lewis,Dreadhouse Encore Front-Runner,Dreadhouse Encore,cast/v4/v4_lead_shojo_012.webp,"Kae checks on the quietest person before checking the exit. Away from the pressure, Kae keeps one small kindness in reserve.",protag,shojo,horror,idol,supernatural,nonbinary,human,20–29,Afro-Caribbean horror / idol character design
v4_lead_shojo_013,Yrsa Dahl,Haunted Pantry Pathfinder,Haunted Pantry,cast/v4/v4_lead_shojo_013.webp,"Yrsa keeps a tiny notebook of useful mistakes; under pressure, Yrsa believes care is easier to trust when it arrives warm.",protag,shojo,horror,cooking,nordic,female,human,20–29,Scandinavian horror / cooking character design
v4_lead_shojo_014,Junwei Fang,After-Dark Voidlane Ace,After Dark Voidlane,cast/v4/v4_lead_shojo_014.webp,"Junwei stays steady when a room starts feeling wrong, but Junwei also always notices who has gone quiet.",protag,shojo,horror,space,samurai,male,human,20–29,Chinese diaspora horror / space character design
v4_lead_shojo_015,Elena Navarro,Midnight Wishlight Runner,Midnight Wishlight,cast/v4/v4_lead_shojo_015.webp,"Elena saves the best snack for whoever worked latest; alongside that, Elena makes room for wonder without becoming careless.",protag,shojo,horror,magical,martial,female,human,17–19,Mexican horror / magical character design
v4_lead_shojo_016,Naledi Mokoena,Grave-Light Last-Light Seeker,Grave Light Last Light,cast/v4/v4_lead_shojo_016.webp,Naledi does not let fear turn other people into punchlines; friends also know Naledi writes reminders on the backs of receipts.,protag,shojo,horror,survival,shinobi,female,human,20–29,Southern African horror / survival character design
v4_lead_shojo_017,Nikodem Lis,Dreadhouse Freewind Trailblazer,Dreadhouse Freewind,cast/v4/v4_lead_shojo_017.webp,"Nikodem takes the long route when someone needs company. In a crisis, Nikodem treats a bad map as a starting point rather than a disaster.",protag,shojo,horror,pirate,mythology,male,human,20–29,Polish horror / pirate character design
v4_lead_shojo_018,Lin Liu,Moonletter Enchanted Front-Runner,Moonletter Enchanted,cast/v4/v4_lead_shojo_018.webp,"Lin takes affection seriously without making it solemn, while outside the big moments Lin keeps one lucky coin and refuses to explain it.",protag,shojo,romance,fantasy,martial,nonbinary,human,17–19,Chinese diaspora romance / fantasy character design
v4_lead_shojo_019,Nao Matsuda,Podium Datastream Pathfinder,Podium Datastream,cast/v4/v4_lead_shojo_019.webp,"Nao returns borrowed things cleaner than they arrived; when it matters, Nao treats information as useful only when somebody can act on it.",protag,shojo,sports,cyber,martial,female,human,17–19,Japanese sports / cyber character design
v4_lead_shojo_020,Hamza Malik,Relay Saffron Ace,Relay Saffron,cast/v4/v4_lead_shojo_020.webp,"Hamza measures trust by effort rather than speeches. Away from the pressure, Hamza gets quieter as the stakes get higher.",protag,shojo,sports,cooking,mythology,male,human,17–19,Pakistani sports / cooking character design
v4_lead_shojo_021,Romi Campbell,Datastream Questroad Runner,Datastream Questroad,cast/v4/v4_lead_shojo_021.webp,"Romi keeps a spare pen for people who never do; under pressure, Romi treats strange rules as invitations to learn.",protag,shojo,cyber,fantasy,shinobi,female,human,17–19,Black British cyber / fantasy character design
v4_lead_shojo_022,Talia Reid,Network Stewpot Seeker,Network Stewpot,cast/v4/v4_lead_shojo_022.webp,"Talia treats information as useful only when somebody can act on it, but Talia also remembers tiny kindnesses for years.",protag,shojo,cyber,cooking,pirate,female,human,20–29,Afro-Caribbean cyber / cooking character design
v4_lead_shojo_023,Theo Markou,Signal Command-Post Trailblazer,Signal Command Post,cast/v4/v4_lead_shojo_023.webp,"Theo carries one completely impractical good-luck charm; alongside that, Theo expects structure to serve the team rather than the reverse.",protag,shojo,cyber,military,survival,male,human,20–29,Greek cyber / military character design
v4_lead_shojo_024,Iman Nasser,Glitchline Moonbow Front-Runner,Glitchline Moonbow,cast/v4/v4_lead_shojo_024.webp,Iman spots the human mistake hiding inside a technical problem; friends also know Iman leaves one light on for anyone coming home late.,protag,shojo,cyber,magical,samurai,nonbinary,human,17–19,Arab cyber / magical character design
v4_lead_shojo_025,Suda Thamrong,Spellwood Spotlight Pathfinder,Spellwood Spotlight,cast/v4/v4_lead_shojo_025.webp,"Suda packs for emergencies and forgets ordinary things. In a crisis, Suda turns nerves into rhythm once the spotlight lands.",protag,shojo,fantasy,idol,survival,female,human,17–19,Thai fantasy / idol character design
v4_lead_shojo_026,Kaan Aydin,Sigil Casefile Ace,Sigil Casefile,cast/v4/v4_lead_shojo_026.webp,"Kaan meets wonder with curiosity instead of obedience, while outside the big moments Kaan keeps one seat empty until everyone arrives.",protag,shojo,fantasy,mystery,cooking,male,human,20–29,Turkish fantasy / mystery character design
v4_lead_shojo_027,Noemi Bellini,Enchanted Frontline Runner,Enchanted Frontline,cast/v4/v4_lead_shojo_027.webp,"Noemi makes tea before delivering bad news; when it matters, Noemi expects structure to serve the team rather than the reverse.",protag,shojo,fantasy,military,space,female,human,17–19,Mediterranean fantasy / military character design
v4_lead_shojo_028,Zola Owusu,Faelight Sea-Road Seeker,Faelight Sea Road,cast/v4/v4_lead_shojo_028.webp,"Zola treats strange rules as invitations to learn. Away from the pressure, Zola always checks whether the quietest person agrees.",protag,shojo,fantasy,pirate,samurai,female,human,20–29,Black British fantasy / pirate character design
v4_lead_shojo_029,Daniyal Hussain,Casefile Comic Trailblazer,Casefile Comic,cast/v4/v4_lead_shojo_029.webp,"Daniyal keeps one old map even after learning the route; under pressure, Daniyal knows when a joke will help and when silence will.",protag,shojo,mystery,comedy,military,male,human,20–29,Pakistani mystery / comedy character design
v4_lead_shojo_030,Camille Vidal,Deadpan Saffron Front-Runner,Deadpan Saffron,cast/v4/v4_lead_shojo_030.webp,"Camille uses mischief to open doors rather than close them, but Camille also writes down compliments because saying them is harder.",protag,shojo,comedy,cooking,samurai,nonbinary,human,17–19,French comedy / cooking character design
v4_lead_shojo_031,Ayame Kobayashi,Comic Deep-Sky Pathfinder,Comic Deep Sky,cast/v4/v4_lead_shojo_031.webp,"Ayame always returns to unfinished work before starting something flashy; alongside that, Ayame treats distance as something to cross rather than admire.",protag,shojo,comedy,space,shinobi,female,human,20–29,Japanese comedy / space character design
v4_lead_shojo_032,Rui Costa,Punchline Iron-Hand Ace,Punchline Iron Hand,cast/v4/v4_lead_shojo_032.webp,Rui cuts tension with timing that never targets the vulnerable; friends also know Rui keeps one tiny repair kit close at hand.,protag,shojo,comedy,martial,mythology,male,human,20–29,Brazilian comedy / martial arts character design
v4_lead_shojo_033,Serena Serra,Stewpot Station Runner,Stewpot Station,cast/v4/v4_lead_shojo_033.webp,"Serena remembers who stayed behind to help clean up. In a crisis, Serena treats distance as something to cross rather than admire.",protag,shojo,cooking,space,martial,female,human,17–19,Mediterranean cooking / space character design
v4_lead_shojo_034,Xinyi Liu,Otherworld Legend Seeker,Otherworld Legend,cast/v4/v4_lead_shojo_034.webp,"Xinyi treats strange phenomena as real without making them sacred, while outside the big moments Xinyi would rather admit uncertainty than fake confidence.",protag,shojo,supernatural,mythology,samurai,female,human,20–29,Chinese diaspora supernatural / mythology character design
v4_lead_shojo_035,Finlay Boyd,Wayfarer Trail Trailblazer,Wayfarer Trail,cast/v4/v4_lead_shojo_035.webp,"Finlay leaves notes instead of dramatic speeches; when it matters, Finlay always saves one reserve for the person who runs out first.",protag,shojo,isekai,survival,pirate,male,human,20–29,Scottish isekai / survival character design
v4_lead_shojo_036,Aom Wongsa,Corner-Shop Mischief Front-Runner,Corner Shop Mischief,cast/v4/v4_lead_shojo_036.webp,"Aom remembers the little jobs nobody puts on a schedule. Away from the pressure, Aom keeps one small kindness in reserve.",protag,shojo,slice,comedy,romance,nonbinary,human,17–19,Thai slice of life / comedy character design
v4_lead_shojo_037,Yildiz Demir,Training-Ground Moon-Echo Pathfinder,Training Ground Moon Echo,cast/v4/v4_lead_shojo_037.webp,"Yildiz keeps a tiny notebook of useful mistakes; under pressure, Yildiz treats strange phenomena as real without making them sacred.",protag,shojo,sports,supernatural,military,female,human,17–19,Turkish sports / supernatural character design
v4_lead_shojo_038,Duy Do,Stewpot Haunting Ace,Stewpot Haunting,cast/v4/v4_lead_shojo_038.webp,"Duy reads mood the way other people read seasoning, but Duy also always notices who has gone quiet.",protag,shojo,cooking,supernatural,magical,male,human,20–29,Vietnamese cooking / supernatural character design
v4_lead_shojo_039,Eliza Mazur,Questroad Moonbow Runner,Questroad Moonbow,cast/v4/v4_lead_shojo_039.webp,"Eliza saves the best snack for whoever worked latest; alongside that, Eliza makes room for wonder without becoming careless.",protag,shojo,fantasy,magical,comedy,female,human,17–19,Polish fantasy / magical character design
v4_lead_shojo_040,Livia Costa,Heartline Northwind Seeker,Heartline Northwind,cast/v4/v4_lead_shojo_040.webp,Livia protects vulnerable conversations from becoming public theatre; friends also know Livia writes reminders on the backs of receipts.,protag,shojo,romance,nordic,cyber,female,human,20–29,Brazilian romance / nordic character design
v4_lead_shojo_041,Thanat Thamrong,Datastream Casefile Trailblazer,Datastream Casefile,cast/v4/v4_lead_shojo_041.webp,"Thanat takes the long route when someone needs company. In a crisis, Thanat asks the useful question after everyone else has run out of clever ones.",protag,shojo,cyber,mystery,shinobi,male,human,20–29,Thai cyber / mystery character design
v4_sidekick_shonen_001,Noel Edwards,Servo Quiet-Day Guide,Servo Quiet Day,cast/v4/v4_sidekick_shonen_001.webp,"Noel repairs first and explains later, while outside the big moments Noel keeps one lucky coin and refuses to explain it.",secondary,shonen,mecha,slice,horror,male,human,17–19,Black British mecha / slice of life character design
v4_sidekick_shonen_002,Tove Aasen,Prototype Rosebound Aide,Prototype Rosebound,cast/v4/v4_sidekick_shonen_002.webp,"Tove returns borrowed things cleaner than they arrived; when it matters, Tove takes affection seriously without making it solemn.",secondary,shonen,mecha,romance,mystery,female,human,17–19,Scandinavian mecha / romance character design
v4_sidekick_shonen_003,Duy Huynh,Machine-Bay Relay Keeper,Machine Bay Relay,cast/v4/v4_sidekick_shonen_003.webp,"Duy trusts machines only after testing them under pressure. Away from the pressure, Duy gets quieter as the stakes get higher.",secondary,shonen,mecha,sports,shinobi,male,human,17–19,Vietnamese mecha / sports character design
v4_sidekick_shonen_004,Esme Farrow,Hangar Chorus Fixer,Hangar Chorus,cast/v4/v4_sidekick_shonen_004.webp,"Esme keeps a spare pen for people who never do; under pressure, Esme protects the backstage people as fiercely as the headline act.",secondary,shonen,mecha,idol,martial,female,human,20–29,mixed diaspora mecha / idol character design
v4_sidekick_shonen_005,Ari Reid,Gearline Freewind Confidant,Gearline Freewind,cast/v4/v4_sidekick_shonen_005.webp,"Ari hears a bad bearing before anyone sees the fault, but Ari also remembers tiny kindnesses for years.",secondary,shonen,mecha,pirate,mythology,nonbinary,human,17–19,Afro-Caribbean mecha / pirate character design
v4_sidekick_shonen_006,Yichen Wu,Crossing Quiet-Day Understudy,Crossing Quiet Day,cast/v4/v4_sidekick_shonen_006.webp,"Yichen carries one completely impractical good-luck charm; alongside that, Yichen remembers the little jobs nobody puts on a schedule.",secondary,shonen,isekai,slice,fantasy,male,human,17–19,Chinese diaspora isekai / slice of life character design
v4_sidekick_shonen_007,Tara Mehrabi,Wayfarer Rosebound Guide,Wayfarer Rosebound,cast/v4/v4_sidekick_shonen_007.webp,Tara asks practical questions when the world stops making sense; friends also know Tara leaves one light on for anyone coming home late.,secondary,shonen,isekai,romance,idol,female,human,17–19,Persian isekai / romance character design
v4_sidekick_shonen_008,Thiago Souza,Second-World Relay Aide,Second World Relay,cast/v4/v4_sidekick_shonen_008.webp,"Thiago packs for emergencies and forgets ordinary things. In a crisis, Thiago finds out who keeps moving when nobody is cheering.",secondary,shonen,isekai,sports,supernatural,male,human,20–29,Brazilian isekai / sports character design
v4_sidekick_shonen_009,Thao Pham,Stranger-Road Formation Keeper,Stranger Road Formation,cast/v4/v4_sidekick_shonen_009.webp,"Thao treats impossible rules as something to learn rather than fear, while outside the big moments Thao keeps one seat empty until everyone arrives.",secondary,shonen,isekai,military,samurai,female,human,17–19,Vietnamese isekai / military character design
v4_sidekick_shonen_010,Zephyr Alexiou,Portal Stardust Fixer,Portal Stardust,cast/v4/v4_sidekick_shonen_010.webp,"Zephyr makes tea before delivering bad news; when it matters, Zephyr believes a little spectacle is worthwhile when it gives people courage.",secondary,shonen,isekai,magical,martial,nonbinary,human,17–19,Greek isekai / magical character design
v4_sidekick_shonen_011,Noel Walters,Crossing Shelter Confidant,Crossing Shelter,cast/v4/v4_sidekick_shonen_011.webp,"Noel looks for the local custom before reaching for assumptions. Away from the pressure, Noel always checks whether the quietest person agrees.",secondary,shonen,isekai,survival,shinobi,male,human,17–19,Black British isekai / survival character design
v4_sidekick_shonen_012,Rafaela Moura,Neighborhood Rosebound Understudy,Neighborhood Rosebound,cast/v4/v4_sidekick_shonen_012.webp,"Rafaela keeps one old map even after learning the route; under pressure, Rafaela takes affection seriously without making it solemn.",secondary,shonen,slice,romance,shinobi,female,human,20–29,Brazilian slice of life / romance character design
v4_sidekick_shonen_013,Zayan Sheikh,Corner-Shop Spotlight Guide,Corner Shop Spotlight,cast/v4/v4_sidekick_shonen_013.webp,"Zayan notices the ordinary routine holding everyone together, but Zayan also writes down compliments because saying them is harder.",secondary,shonen,slice,idol,supernatural,male,human,17–19,Pakistani slice of life / idol character design
